case,name,condition_1,condition_2
SARSCoV2WT_vaccination,2nd-53,0.15919307740693986,0.03947545604297277
SARSCoV2WT_vaccination,2nd-7,0.10999129656024925,0.03859786324247279
SARSCoV2WT_vaccination,3rd-19,0.10201999591920091,0.043237045889565645
SARSCoV2WT_vaccination,5th-4,0.11730104104673972,0.08538825782078834
SARSCoV2WT_vaccination,pre-48,0.04749089757796424,0.04045520904789546
SARSCoV2WT_vaccination,4th-3,0.09046471875968345,0.058976998970401366
SARSCoV2WT_vaccination,1st-13,0.33522641780129453,0.048989246860314084
SARSCoV2WT_vaccination,1st-30,0.1508787964514467,0.05657954866929254
SARSCoV2WT_vaccination,pre-25,0.10057554233797221,0.09046986583511377
SARSCoV2WT_vaccination,1st-15,2.5057018885768128,0.029900147414680257
SARSCoV2WT_vaccination,3rd-27,0.13629918738851357,0.044518302815935135
SARSCoV2WT_vaccination,3rd-6,0.09059355982997508,0.042429895110241256
SARSCoV2WT_vaccination,2nd-35,0.19388634133114635,0.04271258509522749
SARSCoV2WT_vaccination,3rd-44,0.13000207566339278,0.0579000841189901
SARSCoV2WT_vaccination,pre-38,0.1269387338226063,0.04085384536819527
SARSCoV2WT_vaccination,3rd-25,0.1387547274840768,0.07121924065554434
SARSCoV2WT_vaccination,3rd-51,0.08625708925452316,0.03881569016453539
SARSCoV2WT_vaccination,4th-29,0.07282627838677881,0.21895482390796195
SARSCoV2WT_vaccination,5th-36,0.07630029864144039,0.08976505722522399
SARSCoV2WT_vaccination,pre-53,0.13003962662076635,0.03735683819287472
SARSCoV2WT_vaccination,3rd-40,0.12490408150691386,0.05937144681494596
SARSCoV2WT_vaccination,1st-19,0.20553064275037375,0.07473841554559044
SARSCoV2WT_vaccination,3rd-38,0.11048926450227985,0.07846992662610894
SARSCoV2WT_vaccination,3rd-17,0.11724005381510699,0.037158049843039255
SARSCoV2WT_vaccination,1st-35,0.13033296868590102,0.08674620538766556
SARSCoV2WT_vaccination,4th-7,0.07952286282306163,0.07952286282306163
SARSCoV2WT_vaccination,1st-11,0.6016479636909429,0.0177341648686194
SARSCoV2WT_vaccination,1st-47,5.536050111907863,0.046836900326785565
SARSCoV2WT_vaccination,3rd-14,0.08464546475175361,0.03624042353143916
SARSCoV2WT_vaccination,pre-1,0.09756014069199219,0.07616537299637996
SARSCoV2WT_vaccination,4th-19,0.10552699997011691,0.050242058392851646
SARSCoV2WT_vaccination,1st-54,0.8174432266374629,0.038941717229879345
SARSCoV2WT_vaccination,3rd-54,0.13139244135119232,0.031056395228463603
SARSCoV2WT_vaccination,1st-52,0.22405796729062286,0.04136850084150226
SARSCoV2WT_vaccination,1st-10,0.7681802663024838,0.03231234453494603
SARSCoV2WT_vaccination,4th-50,0.08056526046826909,0.08525838243729422
SARSCoV2WT_vaccination,4th-39,0.11277444718984045,0.07439980890996443
SARSCoV2WT_vaccination,pre-52,0.06620132170358059,0.04413421446905375
SARSCoV2WT_vaccination,2nd-55,0.26622452444424943,0.03576150328355621
SARSCoV2WT_vaccination,1st-55,1.7906344853039329,0.04486131173202847
SARSCoV2WT_vaccination,4th-26,0.10961505264974948,0.06991196271361991
SARSCoV2WT_vaccination,pre-6,0.09350163627863499,0.034000595010412714
SARSCoV2WT_vaccination,2nd-45,0.1293016184666397,0.04488313196404753
SARSCoV2WT_vaccination,pre-5,0.09047457700431855,0.05478938527751553
SARSCoV2WT_vaccination,pre-22,0.062233868326236494,0.02292826727808713
SARSCoV2WT_vaccination,3rd-24,0.10239805166950346,0.030442664009852356
SARSCoV2WT_vaccination,4th-38,0.10324163780140289,0.04294253630290201
SARSCoV2WT_vaccination,5th-6,0.13862703781745614,0.03659753798380837
SARSCoV2WT_vaccination,4th-34,0.10725118562834098,0.0335159955088566
SARSCoV2WT_vaccination,2nd-48,0.1716621356433374,0.05482601248520635
SARSCoV2WT_vaccination,pre-41,0.08803537793792476,0.03685201867168946
SARSCoV2WT_vaccination,5th-34,0.07908264136022143,0.11862396204033215
SARSCoV2WT_vaccination,2nd-14,0.12403396622459677,0.03952730791772865
SARSCoV2WT_vaccination,2nd-4,0.21870082697333076,0.04575041071391433
SARSCoV2WT_vaccination,1st-31,0.10619174647040384,0.0428605241778136
SARSCoV2WT_vaccination,pre-16,0.0937775020558914,0.04039646242407629
SARSCoV2WT_vaccination,5th-45,0.3815366771207706,0.03586444764935251
SARSCoV2WT_vaccination,2nd-36,0.1209520385848228,0.12881579341541538
SARSCoV2WT_vaccination,2nd-2,0.12502292086882716,0.053343112904032305
SARSCoV2WT_vaccination,3rd-42,0.0784555932995584,0.03881047966414326
SARSCoV2WT_vaccination,pre-8,0.052139973483099275,0.031283984089859496
SARSCoV2WT_vaccination,3rd-52,0.10226319368946744,0.039713861626977646
SARSCoV2WT_vaccination,4th-23,0.06572251141419728,0.03547852386076133
SARSCoV2WT_vaccination,5th-40,0.3210154613676315,0.052625485470103504
SARSCoV2WT_vaccination,pre-4,0.10115606936416112,0.04066406775104183
SARSCoV2WT_vaccination,4th-48,0.11329227346695007,0.05443914439320948
SARSCoV2WT_vaccination,3rd-39,0.09884117246080432,0.04089979550102251
SARSCoV2WT_vaccination,2nd-54,0.13446829290732762,0.04635617466015815
SARSCoV2WT_vaccination,pre-42,0.04648588821250685,0.022874008485519275
SARSCoV2WT_vaccination,5th-51,2.097383828651891,0.034585834630302126
SARSCoV2WT_vaccination,3rd-13,0.11995637949836382,0.04599118107249543
SARSCoV2WT_vaccination,5th-48,0.08720592225107543,0.050385643967288105
SARSCoV2WT_vaccination,1st-12,0.35933062769974444,0.04406628439618301
SARSCoV2WT_vaccination,4th-16,0.06619246246467117,0.01812412662723136
SARSCoV2WT_vaccination,5th-43,1.8013323287207053,0.03949853457117527
SARSCoV2WT_vaccination,1st-27,0.4668756005717999,0.04142459874164287
SARSCoV2WT_vaccination,pre-18,0.09473918858671433,0.034133972358448526
SARSCoV2WT_vaccination,2nd-6,0.13282665056646717,0.03160848101715381
SARSCoV2WT_vaccination,2nd-32,0.1231211204021975,0.0966816490337761
SARSCoV2WT_vaccination,2nd-43,0.32260816291712363,0.04808102428091732
SARSCoV2WT_vaccination,pre-34,0.07251177197285738,0.051026802499418135
SARSCoV2WT_vaccination,4th-24,0.06560132087153933,0.019901524309343405
SARSCoV2WT_vaccination,1st-29,0.12662077697984592,0.08317247115342821
SARSCoV2WT_vaccination,5th-41,0.08208573063831077,0.03313552429436397
